date,symbol,name,current_price,change_percent,previous_change_percent
2025-07-21,SHSE.600326,未知,10.54,10.02,-0.73
2025-07-21,SHSE.600749,未知,13.15,10.04,0.67
2025-07-21,SHSE.603966,未知,10.63,10.04,-1.53
2025-07-21,SHSE.600143,未知,12.01,9.98,-0.64
2025-07-21,SHSE.603916,未知,10.51,10.05,0.0
2025-07-21,SHSE.600307,未知,1.67,9.15,1.32
2025-07-21,SHSE.605255,未知,21.92,9.98,-1.82
2025-07-21,SHSE.600268,未知,9.87,10.03,-2.82
2025-07-21,SHSE.600815,未知,3.04,10.14,-0.36
2025-07-21,SHSE.603280,未知,28.72,10.0,1.36
2025-07-21,SHSE.603367,未知,18.03,10.01,3.93
2025-07-21,SHSE.600444,未知,20.97,10.02,9.98
2025-07-21,SHSE.900946,未知,0.231,4.05,0.0
2025-07-21,SHSE.600629,未知,10.53,10.03,10.0
2025-07-21,SHSE.600984,未知,3.56,9.88,0.93
2025-07-21,SHSE.603949,未知,20.44,10.01,-0.54
2025-07-21,SHSE.600425,未知,4.15,10.08,0.0
2025-07-21,SHSE.600829,未知,10.16,9.96,10.0
2025-07-21,SHSE.601669,未知,5.59,10.04,0.4
2025-07-21,SHSE.605598,未知,23.96,10.01,-0.09
2025-07-21,SHSE.600528,未知,8.27,9.97,0.67
2025-07-21,SHSE.600596,未知,9.83,9.96,1.13
2025-07-21,SHSE.600773,未知,11.15,9.96,1.6
2025-07-21,SHSE.600581,未知,3.62,10.03,0.61
2025-07-21,SHSE.601868,未知,2.55,9.91,1.31
2025-07-21,SHSE.600117,未知,2.59,10.21,1.73
2025-07-21,SHSE.600678,未知,10.58,9.98,-2.63
2025-07-21,SHSE.600939,未知,3.91,10.14,-0.56
2025-07-21,SHSE.603227,未知,9.04,9.98,0.49
2025-07-21,SHSE.603375,未知,41.62,9.99,-0.34
2025-07-21,SHSE.900921,未知,0.141,2.17,-1.43
2025-07-21,SHSE.600392,未知,18.73,9.98,5.78
2025-07-21,SHSE.600802,未知,5.59,10.04,-0.59
2025-07-21,SHSE.605033,未知,25.7,10.02,9.98
2025-07-21,SHSE.600875,未知,19.62,9.98,3.06
2025-07-21,SHSE.601005,未知,1.57,9.79,0.0
2025-07-21,SHSE.600585,未知,24.7,10.02,0.45
2025-07-21,SHSE.601089,未知,22.0,10.0,2.04
2025-07-21,SHSE.600801,未知,14.41,10.0,-0.61
2025-07-21,SHSE.603275,未知,61.67,10.01,-3.68
2025-07-21,SHSE.600580,未知,23.11,10.0,-0.66
2025-07-21,SHSE.600668,未知,13.3,10.01,-1.14
2025-07-21,SHSE.603977,未知,13.53,10.0,1.4
2025-07-21,SHSE.605122,未知,15.47,10.03,-1.75
2025-07-21,SHSE.601003,未知,6.74,9.95,10.05
2025-07-21,SHSE.603516,未知,49.83,10.0,6.92
2025-07-21,SHSE.603616,未知,4.96,9.98,-0.66
2025-07-21,SHSE.603176,未知,6.93,10.0,9.95
2025-07-21,SHSE.600720,未知,8.75,10.06,0.89
2025-07-21,SHSE.603151,未知,24.59,10.02,2.34
2025-07-21,SHSE.601179,未知,6.97,9.94,0.48
2025-07-21,SHSE.601992,未知,1.73,10.19,0.0
2025-07-21,SHSE.603373,未知,49.76,9.99,-3.97
2025-07-21,SHSE.601399,未知,3.38,10.1,0.99
2025-07-21,SHSE.600376,未知,2.82,10.16,0.79
2025-07-21,SHSE.603165,未知,12.8,9.97,0.09
2025-07-21,SHSE.603612,未知,21.19,10.02,1.48
2025-07-21,SZSE.002827,未知,42.45,10.0,-3.5
2025-07-21,SZSE.000935,未知,20.38,9.98,-0.48
2025-07-21,SZSE.002370,未知,5.43,9.92,1.86
2025-07-21,SZSE.002399,未知,13.82,10.03,0.16
2025-07-21,SZSE.301201,未知,29.25,10.8,4.43
2025-07-21,SZSE.002205,未知,12.33,9.99,0.18
2025-07-21,SZSE.002360,未知,5.84,9.98,-0.19
2025-07-21,SZSE.002783,未知,9.96,10.06,-0.33
2025-07-21,SZSE.301151,未知,21.3,20.0,-0.56
2025-07-21,SZSE.002671,未知,5.26,10.04,-0.21
2025-07-21,SZSE.002896,未知,88.28,10.01,5.04
2025-07-21,SZSE.002917,未知,15.5,10.01,-0.49
2025-07-21,SZSE.003002,未知,28.6,10.0,-3.17
2025-07-21,SZSE.000010,未知,3.5,10.06,-2.45
2025-07-21,SZSE.002067,未知,4.49,10.05,-0.49
2025-07-21,SZSE.003037,未知,9.59,9.98,-1.36
2025-07-21,SZSE.301079,未知,35.46,11.69,-0.38
2025-07-21,SZSE.000789,未知,6.45,10.07,0.51
2025-07-21,SZSE.002037,未知,10.66,10.01,-1.12
2025-07-21,SZSE.002265,未知,36.98,9.99,10.01
2025-07-21,SZSE.002398,未知,5.81,10.04,2.33
2025-07-21,SZSE.002578,未知,3.75,9.97,0.59
2025-07-21,SZSE.002096,未知,14.1,9.98,-4.04
2025-07-21,SZSE.003001,未知,30.73,9.99,-2.51
2025-07-21,SZSE.001359,未知,48.84,10.0,5.11
2025-07-21,SZSE.002097,未知,8.82,9.98,-0.62
2025-07-21,SZSE.002287,未知,25.27,10.01,-0.17
2025-07-21,SZSE.301038,未知,19.32,20.0,2.42
2025-07-21,SZSE.000672,未知,9.42,10.05,0.47
2025-07-21,SZSE.002017,未知,20.33,10.01,2.44
2025-07-21,SZSE.002266,未知,3.69,10.15,3.4
2025-07-21,SZSE.301075,未知,37.7,12.57,3.4
2025-07-21,SZSE.001239,未知,17.41,9.98,0.64
2025-07-21,SZSE.002233,未知,8.79,10.01,-0.12
2025-07-21,SZSE.000400,未知,23.91,9.98,0.05
2025-07-21,SZSE.001360,未知,17.17,9.99,10.01
2025-07-21,SZSE.002297,未知,8.7,9.99,0.51
2025-07-21,SZSE.002542,未知,4.19,9.97,3.25
2025-07-21,SZSE.002645,未知,15.76,9.98,9.98
2025-07-21,SZSE.002497,未知,13.21,9.99,2.47
2025-07-21,SZSE.301511,未知,28.8,13.16,-3.49
2025-07-21,SZSE.000683,未知,5.47,10.06,0.4
2025-07-21,SZSE.002080,未知,28.44,10.02,-3.18
2025-07-21,SZSE.002940,未知,54.56,10.0,10.0
2025-07-21,SZSE.002457,未知,12.76,10.0,0.43
2025-07-21,SZSE.301007,未知,33.5,11.7,-3.75
2025-07-21,SZSE.002132,未知,3.99,9.92,-0.82
2025-07-21,SZSE.301161,未知,29.59,19.99,5.52
2025-07-21,SZSE.000877,未知,5.51,9.98,0.2
2025-07-21,SZSE.002302,未知,6.63,9.95,-0.33
2025-07-21,SZSE.002534,未知,12.67,9.98,-0.17
2025-07-21,SZSE.002883,未知,12.61,10.03,-0.35
2025-07-21,SZSE.000679,未知,8.15,9.99,-2.37
2025-07-21,SZSE.002246,未知,19.57,10.01,10.02
2025-07-21,SZSE.002628,未知,5.53,9.94,2.03
2025-07-21,SZSE.301538,未知,64.62,14.17,-1.57
2025-07-21,SZSE.002809,未知,13.48,10.04,-0.89
2025-07-21,SZSE.000401,未知,5.25,10.06,2.14
2025-07-21,SZSE.002226,未知,6.29,9.97,2.14
